Name,Address,Latitude,Longitude
GOODFELLA'S BRICK OVEN PIZZA,144 ORCHARD STREET NYC 10002,40.7204343,-73.9889386
GRAND SICHUAN,229 9TH AVE NYC 10001,40.747358,-74.0009202
GRAND SICHUAN 75 ST.,307 AMSTERDAM AVE NYC 10023,40.7800809,-73.9802283125278
GUY'S AMERICAN KITCHEN & BAR,220 WEST 44TH STREET NYC 10036,40.7576588181818,-73.9869953636364
"HAMPTON INN, UNITED NATIONS",231 E 43RD ST NYC 10017,40.7509857,-73.9721620227952
HARLEM FOOD COURT,66 W 116TH ST NYC 10026,40.80158795,-73.9493223816803
HARLEM ON FIFTH,2150 5TH AVENUE NYC 10037,40.81066455,-73.9394684173642
HESTIA MARKETPLACE,513 7TH AVE NYC 10018,40.7532535,-73.9887536
HOP WON EXPRESS,139 E 45TH ST NYC 10017,40.75331505,-73.9739093122714
HOT CLAY OVEN,708 3RD AVE NYC 10017,40.752367125,-73.973406125
HUNTER COLLEGE FACULTY DINING,695 PARK AVENUE NYC 10065,40.7689301111111,-73.9652882222222
ICHI UMI,6 EAST 32ND STREET NYC 10016,40.7467776,-73.9848138
IL VALENTINO OSTERIA,1078 1ST AVENUE NYC 10022,40.7593303333333,-73.9620526666667
JEBON,15 ST MARKS PLACE NYC 10003,40.7293347,-73.9888527637341
JG MELON RESTAURANT,1291 3RD AVENUE NYC 10021,40.7710892,-73.959404
J J NOODLE,19 HENRY STREET  NYC 10002,40.7129106,-73.9969013
JOHN'S PIZZA,260 WEST 44TH STREET NYC 10036,40.7582345,-73.9884016
JOSEPH LEONARD,170 WAVERLY PLACE NYC 10014,40.7335936,-74.0016501
JOU JOU CAFE (Presbyterian hospital),3959 BROADWAY NYC 10032,40.8396416,-73.9412089
JOY BURGER BAR,1567 LEXINGTON AVE NYC 10029,40.7885062,-73.9488409
JR PRIMOS II RESTAURANT,4986 BROADWAY  NYC 10034,40.868131,-73.9190614
KABAB BITES,369 BROOME ST NYC 10013,40.71987925,-73.995989643983
KARAOKE NEMO / TRECE,54 EAST 13TH STREET NYC 10003,40.734071,-73.9917217092176
KEKO CAFE,121 MADISON AVENUE NYC 10016,40.7453718,-73.9845291
KEN'S ASIAN TASTE,40 BOWERY NYC 10013,40.7155618,-73.996932700395
KIKOO SUSHI,141 1ST AVE NYC 10003,40.72809545,-73.9853073093528
KORI TRIBECA,253 CHURCH ST NYC 10013,40.717874,-74.0053245766059
LA BALA FISH MARKET,3668 BROADWAY NYC 10031,40.83043295,-73.9471226495544
LA CARIDAD RESTAURANT,2092 AMSTERDAM AVENUE NYC 10032,40.837045,-73.939360127778
LA ISLA CAFE RESTAURANT,212 DELANCEY STREET NYC 10002,40.7172653,-73.9832112
LA TOULOUSAINE BOULANGERIE PATISSERIE CAFE,942 AMSTERDAM AVENUE NYC 10025,40.8008545,-73.9656396
LA VIE EN SZECHUAN RESTAURANT,14 EAST 33RD STREET NYC 10016,40.7473377,-73.9842929
LA VILLAGIO RESTAURANTE ITALIANO,93 MACDOUGAL STREET NYC 10012,40.7293716363636,-74.0011470909091
LE BON CHOIX,652 10TH AVE NYC 10036,40.7620108,-73.9935127
